value_id,manuscript_location,reported_value,units,canonical_source,source_locator,derivation,generator_code,manuscript_fragment,manuscript_match,status
robustness_draws,Methods 2.4,250,paired draws,config/production.yaml,robustness.samples,Direct configured deterministic Monte Carlo sample count.,src/graded_roof/manuscript.py:build_manuscript,Monte Carlo robustness used 250 deterministic draws,True,PASS
surface_class_count,Methods 2.4,3,generic classes,config/production.yaml,surface.discrete_classes,Count of configured generic surface classes.,src/graded_roof/manuscript.py:build_manuscript,mapped to 3 generic surface classes,True,PASS
minimum_segment_cells,Methods 2.4,3,cells,config/production.yaml,roof.minimum_segment_cells,Frozen post hoc constructability rule.,src/graded_roof/manuscript.py:build_manuscript,segments of at least 3 cells,True,PASS
maximum_transitions,Methods 2.4,6,transitions,config/production.yaml,roof.maximum_transitions,Frozen post hoc constructability rule.,src/graded_roof/manuscript.py:build_manuscript,with at most 6 transitions,True,PASS
convergence_tolerance,Results 3.1,8,%,config/production.yaml,convergence.relative_tolerance,Configured four-metric relative tolerance.,src/graded_roof/manuscript.py:build_manuscript,frozen 8% four-metric convergence tolerance,True,PASS
convergence_pass_count,Results 3.1,3 of 9,resolution combinations,results/generated/convergence.csv,within_tolerance=True,Count of frozen-grid rows meeting all four metrics.,scripts/run_pipeline.py:stage_convergence,met by 3 of 9 tested,True,PASS
one_hour_failures,Results 3.1,3 of 3,selected designs,results/generated/final_revision_selected_design_timestep_audit.csv,dt_hours=1.0; within_tolerance=False,Count of selected designs failing relative to 0.5 h.,scripts/run_0p5h_revision.py:stage_timestep,"At 1 h, 3 of 3 selected",True,PASS
quarter_hour_failures,Abstract; Results 3.1,3 of 3,selected designs,results/generated/final_revision_selected_design_0p25h_audit.csv,dt_hours=0.5; within_frozen_tolerance=False,Count of 0.5-h selected designs failing relative to 0.25 h.,scripts/run_0p5h_revision.py:stage_quarter_hour,3 of 3 selected designs failed the frozen four-metric tolerance,True,PASS
retention_lmax,Results 3.1,6417.0,kg m-1,results/generated/baseline_aggregate.csv,design=retention_non_shedding; l_max_kg_per_m,Reported retention baseline Lmax.,scripts/run_pipeline.py:stage_baseline,retention baseline produced Lmax=6417.0,True,PASS
retention_smax,Results 3.1,0.000,kg m-1,results/generated/baseline_aggregate.csv,design=retention_non_shedding; s_max_kg_per_m,Reported retention baseline Smax.,scripts/run_pipeline.py:stage_baseline,Smax=0.000,True,PASS
shedding_lmax,Results 3.1,40.00,kg m-1,results/generated/baseline_aggregate.csv,design=conventional_shedding; l_max_kg_per_m,Reported shedding baseline Lmax.,scripts/run_pipeline.py:stage_baseline,shedding baseline produced Lmax=40.00,True,PASS
shedding_smax,Results 3.1,40.00,kg m-1,results/generated/baseline_aggregate.csv,design=conventional_shedding; s_max_kg_per_m,Reported shedding baseline Smax.,scripts/run_pipeline.py:stage_baseline,Smax=40.00,True,PASS
uniform_objective_pairs,Results 3.2-3.3; Table 1,2,objective pairs,results/generated/final_revision_frontier_summary.csv,design_class=uniform; unique_objective_pairs,Six-decimal objective-pair deduplication.,scripts/run_final_revision_analyses.py:stage_frontier,uniform: 2 objective pairs,True,PASS
uniform_hypervolume,Results 3.3; Table 1,0.701,normalized fraction,results/generated/final_revision_frontier_metric_sensitivity.csv,design_class=uniform; normalization_origin=zero; reference_margin=1.05,"Common zero-origin, 1.05-margin normalized hypervolume.",scripts/run_final_revision_analyses.py:stage_frontier,"uniform: 2 objective pairs, normalized hypervolume 0.701",True,PASS
geometry_objective_pairs,Results 3.2-3.3; Table 1,6,objective pairs,results/generated/final_revision_frontier_summary.csv,design_class=geometry; unique_objective_pairs,Six-decimal objective-pair deduplication.,scripts/run_final_revision_analyses.py:stage_frontier,geometry: 6 objective pairs,True,PASS
geometry_hypervolume,Results 3.3; Table 1,0.504,normalized fraction,results/generated/final_revision_frontier_metric_sensitivity.csv,design_class=geometry; normalization_origin=zero; reference_margin=1.05,"Common zero-origin, 1.05-margin normalized hypervolume.",scripts/run_final_revision_analyses.py:stage_frontier,"geometry: 6 objective pairs, normalized hypervolume 0.504",True,PASS
surface_objective_pairs,Results 3.2-3.3; Table 1,2,objective pairs,results/generated/final_revision_frontier_summary.csv,design_class=surface; unique_objective_pairs,Six-decimal objective-pair deduplication.,scripts/run_final_revision_analyses.py:stage_frontier,surface: 2 objective pairs,True,PASS
surface_hypervolume,Results 3.3; Table 1,0.701,normalized fraction,results/generated/final_revision_frontier_metric_sensitivity.csv,design_class=surface; normalization_origin=zero; reference_margin=1.05,"Common zero-origin, 1.05-margin normalized hypervolume.",scripts/run_final_revision_analyses.py:stage_frontier,"surface: 2 objective pairs, normalized hypervolume 0.701",True,PASS
joint_objective_pairs,Results 3.2-3.3; Table 1,6,objective pairs,results/generated/final_revision_frontier_summary.csv,design_class=joint; unique_objective_pairs,Six-decimal objective-pair deduplication.,scripts/run_final_revision_analyses.py:stage_frontier,joint: 6 objective pairs,True,PASS
joint_hypervolume,Results 3.3; Table 1,0.762,normalized fraction,results/generated/final_revision_frontier_metric_sensitivity.csv,design_class=joint; normalization_origin=zero; reference_margin=1.05,"Common zero-origin, 1.05-margin normalized hypervolume.",scripts/run_final_revision_analyses.py:stage_frontier,"joint: 6 objective pairs, normalized hypervolume 0.762",True,PASS
uniform_design_rows,Results 3.2 or 3.5; Table 1,2910,nondominated rows,results/generated/final_revision_frontier_summary.csv,design_class=uniform; nondominated_design_rows,Count of retained nondominated design rows.,scripts/run_final_revision_analyses.py:stage_frontier,2910 nondominated design rows,True,PASS
joint_design_rows,Results 3.2 or 3.5; Table 1,1341,nondominated rows,results/generated/final_revision_frontier_summary.csv,design_class=joint; nondominated_design_rows,Count of retained nondominated design rows.,scripts/run_final_revision_analyses.py:stage_frontier,1341 nondominated rows,True,PASS
joint_intermediate_pairs,Abstract; Results 3.3; Discussion; Conclusion,4,objective pairs,results/generated/final_revision_joint_unique_regions.csv,attainable_by_uniform_under_same_caps=False,Count of joint pairs unavailable to uniform under identical caps.,scripts/run_final_revision_analyses.py:stage_frontier,4 additional intermediate pairs,True,PASS
joint_epsilon,Abstract; Results 3.3; Table 1,0.000,normalized additive epsilon,results/generated/final_revision_frontier_summary.csv,design_class=joint; additive_epsilon_vs_uniform_common_minmax,Common-minmax additive epsilon against uniform.,scripts/run_final_revision_analyses.py:stage_frontier,joint additive epsilon versus uniform was 0.000,True,PASS
joint_knee_lmax,Results 3.3; Table 1,4547.4,kg m-1,results/generated/final_revision_knee_audit.csv,design_class=joint; normalization=front_specific_minmax,Within-front normalized-distance knee Lmax.,scripts/run_final_revision_analyses.py:stage_knee,joint knee was 4547.4/,True,PASS
joint_knee_smax,Results 3.3; Table 1,12.28,kg m-1,results/generated/final_revision_knee_audit.csv,design_class=joint; normalization=front_specific_minmax,Within-front normalized-distance knee Smax.,scripts/run_final_revision_analyses.py:stage_knee,4547.4/12.28,True,PASS
cap20_joint_lmax,Results 3.3,4545.9,kg m-1,results/generated/final_revision_prespecified_constraints.csv,s_max_limit_kg_per_m=20; design_class=joint,Minimum Lmax among points satisfying Smax <= 20 kg m-1.,scripts/run_final_revision_analyses.py:stage_knee,4545.9,True,PASS
cap20_uniform_lmax,Results 3.3,6417.0,kg m-1,results/generated/final_revision_prespecified_constraints.csv,s_max_limit_kg_per_m=20; design_class=uniform,Minimum Lmax among points satisfying Smax <= 20 kg m-1.,scripts/run_final_revision_analyses.py:stage_knee,6417.0,True,PASS
robust_candidate_count,Results 3.4,12,candidates,results/generated/final_revision_objective_equivalent_robustness.csv,largest candidate_count group; candidate_count,Range within largest nominal objective-equivalent group.,scripts/run_final_revision_analyses.py:stage_robustness,Among 12 candidates,True,PASS
robust_q95_l_min,Results 3.4,51.89,kg m-1,results/generated/final_revision_objective_equivalent_robustness.csv,largest candidate_count group; q95_l_min_kg_per_m,Range within largest nominal objective-equivalent group.,scripts/run_final_revision_analyses.py:stage_robustness,Q95 Lmax ranged from 51.89,True,PASS
robust_q95_l_max,Results 3.4,5816.7,kg m-1,results/generated/final_revision_objective_equivalent_robustness.csv,largest candidate_count group; q95_l_max_kg_per_m,Range within largest nominal objective-equivalent group.,scripts/run_final_revision_analyses.py:stage_robustness,51.89 to 5816.7,True,PASS
robust_q95_s_min,Results 3.4,51.89,kg m-1,results/generated/final_revision_objective_equivalent_robustness.csv,largest candidate_count group; q95_s_min_kg_per_m,Range within largest nominal objective-equivalent group.,scripts/run_final_revision_analyses.py:stage_robustness,Q95 Smax ranged from 51.89,True,PASS
robust_q95_s_max,Results 3.4,2726.6,kg m-1,results/generated/final_revision_objective_equivalent_robustness.csv,largest candidate_count group; q95_s_max_kg_per_m,Range within largest nominal objective-equivalent group.,scripts/run_final_revision_analyses.py:stage_robustness,51.89 to 2726.6,True,PASS
robust_intervention_min,Results 3.4,0.000,probability,results/generated/final_revision_objective_equivalent_robustness.csv,largest candidate_count group; intervention_probability_min,Range within largest nominal objective-equivalent group.,scripts/run_final_revision_analyses.py:stage_robustness,probability ranged from 0.000,True,PASS
robust_intervention_max,Results 3.4,0.216,probability,results/generated/final_revision_objective_equivalent_robustness.csv,largest candidate_count group; intervention_probability_max,Range within largest nominal objective-equivalent group.,scripts/run_final_revision_analyses.py:stage_robustness,0.000 to 0.216,True,PASS
robust_tie_count,Abstract; Results 3.4,6,candidates,results/generated/final_revision_robust_selection_ties.csv,minimum_score_tie=True,Count of candidates sharing minimum scalar robustness score.,scripts/run_final_revision_analyses.py:stage_robustness,shared by 6 candidates,True,PASS
constructable_joint_rows,Results 3.5,0 of 1341,joint rows,results/generated/final_revision_constructability_by_objective.csv,design_class=joint; sum(feasible_design_rows),Count passing every frozen post hoc constructability check.,scripts/run_final_revision_analyses.py:stage_constructability,No joint design row among the 1341 nondominated rows,True,PASS
continuous_slope_transitions,Abstract; Results 3.5; Discussion; Table 3,23,transitions,results/generated/final_revision_discretization_loss.csv,continuous_slope_transitions,Mapped minus continuous selected joint-knee outcome.,scripts/run_final_revision_analyses.py:stage_constructability,had 23 slope and 23 surface transitions,True,PASS
continuous_surface_transitions,Abstract; Results 3.5; Discussion; Table 3,23,transitions,results/generated/final_revision_discretization_loss.csv,continuous_surface_transitions,Mapped minus continuous selected joint-knee outcome.,scripts/run_final_revision_analyses.py:stage_constructability,had 23 slope and 23 surface transitions,True,PASS
mapped_slope_transitions,Abstract; Results 3.5; Discussion; Table 3,6,transitions,results/generated/final_revision_discretization_loss.csv,mapped_slope_transitions,Mapped minus continuous selected joint-knee outcome.,scripts/run_final_revision_analyses.py:stage_constructability,reduced these to 6 and 0 transitions,True,PASS
mapped_surface_transitions,Abstract; Results 3.5; Discussion; Table 3,0,transitions,results/generated/final_revision_discretization_loss.csv,mapped_surface_transitions,Mapped minus continuous selected joint-knee outcome.,scripts/run_final_revision_analyses.py:stage_constructability,reduced these to 6 and 0 transitions,True,PASS
mapping_lmax_absolute,Abstract; Results 3.5; Discussion; Table 3,-4469.09,kg m-1,results/generated/final_revision_discretization_loss.csv,l_max_absolute_change_kg_per_m,Mapped minus continuous selected joint-knee outcome.,scripts/run_final_revision_analyses.py:stage_constructability,Lmax changed by -4469.09,True,PASS
mapping_lmax_percent,Abstract; Results 3.5; Discussion; Table 3,-98.28,%,results/generated/final_revision_discretization_loss.csv,l_max_percent_change,Mapped minus continuous selected joint-knee outcome.,scripts/run_final_revision_analyses.py:stage_constructability,(-98.28%),True,PASS
mapping_smax_absolute,Abstract; Results 3.5; Discussion; Table 3,+66.00,kg m-1,results/generated/final_revision_discretization_loss.csv,s_max_absolute_change_kg_per_m,Mapped minus continuous selected joint-knee outcome.,scripts/run_final_revision_analyses.py:stage_constructability,Smax by +66.00,True,PASS
mapping_smax_percent,Abstract; Results 3.5; Discussion; Table 3,+537.47,%,results/generated/final_revision_discretization_loss.csv,s_max_percent_change,Mapped minus continuous selected joint-knee outcome.,scripts/run_final_revision_analyses.py:stage_constructability,(+537.47%),True,PASS
continuous_minimum_segment,Results 3.5,1,cell,tables/generated/table_2_selected_profile.csv,continuous_slope_deg and continuous_mu_static run lengths,Minimum constant-value run length in selected continuous profile.,src/graded_roof/reporting.py:generate_tables,minimum segment length 1 cell,True,PASS
jma_station_winter_count,Results 3.6; Table 9,12,station-winters,results/generated/final_revision_jma_paired_tradeoffs.csv,row count,Count or range across paired station-winter rows.,scripts/run_final_revision_analyses.py:stage_jma,Daily forcing covered 4 stations and 12 station-winters,True,PASS
jma_lmax_ratio_min,Results 3.6; Table 9,2.84,ratio,results/generated/final_revision_jma_paired_tradeoffs.csv,min(joint_to_uniform_l_max_ratio),Count or range across paired station-winter rows.,scripts/run_final_revision_analyses.py:stage_jma,Lmax ratios ranged from 2.84,True,PASS
jma_lmax_ratio_max,Results 3.6; Table 9,16.68,ratio,results/generated/final_revision_jma_paired_tradeoffs.csv,max(joint_to_uniform_l_max_ratio),Count or range across paired station-winter rows.,scripts/run_final_revision_analyses.py:stage_jma,2.84 to 16.68,True,PASS
jma_smax_reduction_min,Results 3.6; Table 9,67.01,%,results/generated/final_revision_jma_paired_tradeoffs.csv,min(s_max_reduction_percent),Count or range across paired station-winter rows.,scripts/run_final_revision_analyses.py:stage_jma,Smax reductions ranged from 67.01%,True,PASS
jma_smax_reduction_max,Results 3.6; Table 9,70.83,%,results/generated/final_revision_jma_paired_tradeoffs.csv,max(s_max_reduction_percent),Count or range across paired station-winter rows.,scripts/run_final_revision_analyses.py:stage_jma,67.01% to 70.83%,True,PASS
