record_id,authors,year,title,journal_or_publisher,volume,issue,pages_or_article_number,doi_or_identifier,official_url,evidence_role,claim_supported,transfer_limit,snapshot_title,title_verification_status,year_matches_snapshot,source_local_status,source_path,source_sha256
JP01,Kimura T,1989,Change of removing technique of snow on roof and recent situation of its technical development,Snow and Ice,51,2,111-117,10.5331/seppyo.51.111,https://doi.org/10.5331/seppyo.51.111,Japanese retention practice,M-roof development addressed eave ice and icicle hazards rather than meaningful solar melting through the retained snowpack.,Historical Japanese practice is not a universal assembly specification.,Change of removing technique of snow on roof and recent situation of its technical development,exact,True,verified,data/raw/published_sources/20260924T103000Z/jp01.json,4ebd0e9e5c10c13f135b670e3897ac09975d68bdb8f108fef822abc389c2b5f9
JP02,Hokkaido Research Organization; Hokkaido Building Guidance Center,2017,Planning roof-snow treatment for detached houses,Official technical guide,,,,official guide,https://www.hro.or.jp/upload/51707/yanenoyukishori.pdf,Japanese retention practice,"M-shaped, low-slope, retention, and shedding strategies must be integrated with envelope, drainage, site, and maintenance planning.",Regional guidance and numerical rules cannot be generalized globally.,Planning roof-snow treatment for detached houses,exact,True,verified,data/raw/published_sources/20260924T103000Z/jp_hro.pdf,5555aa6460fcfefb1d419a3998bc2dc70680977419aa7742bc9ffcbcdad66211
JP03,Niigata Prefecture,2006,Technical material on characteristics and design ideas for roof-snow treatment,Official prefectural technical material,,,,official guidance,https://www.pref.niigata.lg.jp/uploaded/attachment/135532.pdf,strategy taxonomy,"Japanese practice distinguishes shedding, melting, and load-resisting roof strategies and recognizes system costs.",Regional examples are not universal design rules.,Technical material on characteristics and design ideas for roof-snow treatment,exact,True,verified,data/raw/published_sources/20260924T103000Z/jp_niigata.pdf,d4bb23309615cd12b7a8638aac53bf793f279288c18a2c440c753198989d29a5
JP04,Takakura M; Ito T; Tomabechi T,2003,Assessment of the effectiveness of snow guards on a sloped roof,AIJ Journal of Technology and Design,9,17,67-70,10.3130/aijt.9.67_1,https://doi.org/10.3130/aijt.9.67_1,snow restraint,Wet granular snow had low interface friction and tested snow-guard strength varied substantially.,Reported roof angles and guard spacing are test-specific.,ASSESSMENT OF THE EFFECTIVENESS OF SNOW GUARDS ON A SLOPED ROOF(Structures),verified_metadata_variant,True,verified,data/raw/published_sources/20260924T103000Z/jp04.json,968434a185f647186afed25aab0b2a014d7cba7f88e5f7fff873687a14eb43d4
JP05,Tomabechi T; Takakura M; Ito T,1996,Influence of the surface roughness of roofing materials on snow sliding,Journal of Snow Engineering of Japan,12,3,205-211,10.4106/jsse.12.205,https://doi.org/10.4106/jsse.12.205,surface mechanics,Friction depended on roughness and snow water content; adhesion depended on water repellency and roughness.,Material- and test-specific findings do not define universal coefficients.,Influence of the surface roughness of roofing materials on snow sliding,exact,True,verified,data/raw/published_sources/20260924T103000Z/jp05.json,e98fa296f5538b35f6979d253bc6a7d90163d0b66a1dd33388d4110bb34e5519
JP06,Ito T; Tomabechi T; Mitsuhashi H,1997,Evaluation and Maintenance of Snow Sliding Performance of Coated Steel Roofing Used for Sloped Roof,Journal of Snow Engineering of Japan,13,3,244-252,10.4106/jsse.13.244,https://doi.org/10.4106/jsse.13.244,surface aging,Ultraviolet and mechanical aging changed coated-steel snow-sliding performance.,Findings are material-specific and do not fix the model's aging law.,Evaluation and Maintenance of Snow Sliding Performance of Coated Steel Roofing Used for Sloped Roof,exact,True,verified,data/raw/published_sources/20260924T103000Z/jp06.json,a262c1300586ac38fca9b3717b6c759abd98d528cd9e9b4bb33af6e6bf6d210e
JP07,Asano Y; Iwai K,1995,Experimental Study on the Snow Removal on the Roof by Snow-Melting System in Northern Area of Nagano Prefecture,Journal of Architecture Planning and Environmental Engineering,60,476,57-65,10.3130/aija.60.57_3,https://doi.org/10.3130/aija.60.57_3,active comparator,Partial melting was more energy- and construction-efficient than complete melting in the study context.,Single-region active-system results are not passive-roof evidence.,EXPERIMENTAL STUDY ON THE SHOW REMOVAL ON THE ROOF BY SNOW-MELTING SYSTEM IN NORTHERN AREA OF NAGANO PREFECTURE,verified_metadata_variant,True,verified,data/raw/published_sources/20260924T103000Z/jp07.json,480b9bf6a942c12b44ac41ce42a4b38f13d9e6019f5947913f6738de34bc4c08
JP08,Chiba T et al.,2021,Fundamental study for elucidating snow cornice formation mechanism of flat roofs based on wind tunnel test using natural snow,Snow and Ice,83,3,249-258,10.5331/seppyo.83.3_249,https://doi.org/10.5331/seppyo.83.3_249,retention limitation,Flat or non-shedding roofs can form hazardous cornices through wind transport and edge deposition.,Cornice physics are outside the current model.,Fundamental study for elucidating snow cornice formation mechanism of flat roofs based on wind tunnel test using natural snow,exact,True,verified,data/raw/published_sources/20260924T103000Z/jp08.json,c74ea6a3bcd517eac48c7196b0939a9cd914a4fe31207f5ffd0234620ba53a1a
JP09,Sapporo City,2025,Measures to prevent hazards caused by falling ice and snow,Municipal administrative guidance,,,,Sapporo Building Standards Ordinance Article 12 guidance,https://www.city.sapporo.jp/toshi/k-shido/kakuninn/yukidome/yukidome.html,administrative context,"Setback, guards, retention roofing, or equivalent measures may be accepted, but approval does not guarantee zero falling snow or ice.",Municipal guidance is contextual and does not establish global safety.,Measures to prevent hazards caused by falling ice and snow,exact,True,verified,data/raw/published_sources/20260924T103000Z/jp_sapporo.html,a0b2cc59ecb908d50f017587dab1f5ef932bea4c1ce1beb0f2025135abc73de3
JP10,Watanabe M; Takita M,1997,Fundamental Study on Control of Roof Snow Sliding,Journal of Snow Engineering of Japan,13,1,3-12,10.4106/jsse.13.3,https://doi.org/10.4106/jsse.13.3,Japanese retention practice,"Retention roofs reduce required snow-fall space and can suit dense urban sites, while requiring adequate structural capacity for long-duration snow load.",The regional planning discussion does not establish universal roof-system superiority.,Fundamental Study on Control of Roof Snow Sliding,exact,True,verified,data/raw/published_sources/20260925T042713Z/jp10.json,4ca24bcd1c9f53b10a05d250e3ec4bd1e1d3f7006feea8a0723e58a62d22199e
